corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,1H6,Master Gunner,MasterGunner_1H6,,
shakedracor,1H6,Orleance,Bastard_1H6,,
shakedracor,1H6,Basset,Basset_1H6,,
shakedracor,1H6,"Drummer, Soldiers, two Sentinels, Messenger, Soldiers, Governor of Paris, Herald, Scout, Fiends accompanying Pucelle",MESSENGERS.FRENCH.1_1H6,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SERVANTS.2_1H6,,
shakedracor,1H6,King Henry VI,HenryVI_1H6,,
shakedracor,1H6,Winchester,CardinalBeaufort_1H6,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SOLDIERS.ENGLISH.Captain_1H6,,
shakedracor,1H6,Vernon,Vernon_1H6,,
shakedracor,1H6,Bedford,Bedford_H5,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SOLDIERS.ENGLISH.SOMERSET.0.1_1H6,,
shakedracor,1H6,"Drummer, Soldiers, two Sentinels, Messenger, Soldiers, Governor of Paris, Herald, Scout, Fiends accompanying Pucelle",SOLDIERS.FRENCH.PUCELLE.0.1_1H6,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SERVANTS.TALBOT.1_1H6,,
shakedracor,1H6,Shepherd,Shepherd_1H6,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SERVANTS.GLOUCESTER.0.2_1H6,,
shakedracor,1H6,Lucy,Lucy_1H6,,
shakedracor,1H6,"Heralds, Attendants, three Messengers, Servingmen in blue coats and in tawny coats, two Warders, Officers, Soldiers, Captains, Watch, Trumpeters, Drummer, Servant, two Ambassadors",SERVANTS.1_1H6,,
shakedracor,1H6,Mortimer,Mortimer_1H4,,
