corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,H5,HERALDS.1_H5,HERALDS.1_H5,,
shakedracor,H5,Montjoy,Montjoy_H5,,
shakedracor,H5,Chorus,Chorus_H5,,
shakedracor,H5,Duke of Brittany,Brittany_H5,,
shakedracor,H5,Alexander Court,SOLDIERS.ENGLISH.Court_H5,,
shakedracor,H5,"Thomas, Duke of Exeter",Exeter_H5,,
shakedracor,H5,Sir Thomas Grey,Grey_H5,,
shakedracor,H5,"John, Duke of Bedford",Bedford_H5,,
shakedracor,H5,Boy,Boy_H5,,
shakedracor,H5,"Lords, Attendants, Soldiers, French Prisoners, Messengers",MESSENGERS.X.1_H5,,
shakedracor,H5,Monsieur Le Fer,SOLDIERS.FRENCH.LeFer_H5,,
shakedracor,H5,Constable of France,Constable_H5,,
shakedracor,H5,Captain Fluellen,Fluellen_H5,,
shakedracor,H5,Captain MacMorris,MacMorris_H5,,
shakedracor,H5,Governor_H5,Governor_H5,,
shakedracor,H5,Pistol,Pistol_2H4,,
shakedracor,H5,Earl of Warwick,Warwick_2H4,,
shakedracor,H5,Katherine,Katherine_H5,,
shakedracor,H5,Duke of Orléans,Orleans_H5,,
shakedracor,H5,Earl of Cambridge,Cambridge_H5,,
shakedracor,H5,"Lords, Attendants, Soldiers, French Prisoners, Messengers",MESSENGERS.X.3_H5,,
shakedracor,H5,Lord Grandpré,Grandpre_H5,,
shakedracor,H5,Lord Rambures,Rambures_H5,,
shakedracor,H5,"Lords, Attendants, Soldiers, French Prisoners, Messengers",ATTENDANTS.ENGLISH_H5,,
shakedracor,H5,King of France,KingOfFrance_H5,,
shakedracor,H5,Captain Jamy,Jamy_H5,,
shakedracor,H5,Bardolph,Bardolph_1H4,,
shakedracor,H5,"Humphrey, Duke of Gloucester",Gloucester_2H4,,
shakedracor,H5,Michael Williams,SOLDIERS.ENGLISH.Williams_H5,,
shakedracor,H5,Bishop of Ely,BishopOfEly_H5,,
shakedracor,H5,Nym,Nym_H5,,
shakedracor,H5,Hostess Quickly,MistressQuickly_1H4,,
shakedracor,H5,Lord Scroop of Masham,Scroop_H5,,
shakedracor,H5,Duke of York,York_H5,,
shakedracor,H5,Earl of Westmoreland,Westmoreland_1H4,,
shakedracor,H5,John Bates,SOLDIERS.ENGLISH.Bates_H5,,
shakedracor,H5,Captain Gower,Gower_H5,,
shakedracor,H5,"Henry V, King of England",HenryV_H5,,
shakedracor,H5,Earl of Salisbury,Salisbury_H5,,
shakedracor,H5,"Lords, Attendants, Soldiers, French Prisoners, Messengers",MESSENGERS.X.2_H5,,
shakedracor,H5,Sir Thomas Erpingham,Erpingham_H5,,
shakedracor,H5,Duke of Burgundy,Burgundy_H5,,
shakedracor,H5,Bishop of Canterbury,BishopOfCanterbury_H5,,
shakedracor,H5,Alice,Alice_H5,,
shakedracor,H5,Duke of Bourbon,Bourbon_H5,,
shakedracor,H5,AMBASSADORS.0.1_H5,AMBASSADORS.0.1_H5,,
shakedracor,H5,Dauphin,Dauphin_H5,,
shakedracor,H5,Queen Isabel of France,QueenOfFrance_H5,,
