corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,R2,Groom_R2,34,
shakedracor,R2,SERVANTS.GARDENER.1_R2,26,
shakedracor,R2,LADIES.0.1_R2,24,
shakedracor,R2,Scroop_R2,23,
shakedracor,R2,Jailer_R2,35,
shakedracor,R2,Gaunt_R2,1,
shakedracor,R2,Bushy_R2,10,
shakedracor,R2,Salisbury_R2,21,
shakedracor,R2,York_R2,12,
shakedracor,R2,RichardII_R2,0,
shakedracor,R2,Fitzwater_R2,27,
shakedracor,R2,SERVANTS.YORK.1_R2,17,
shakedracor,R2,Exton_R2,32,
shakedracor,R2,Aumerle_R2,6,
shakedracor,R2,DuchessOfGloucester_R2,4,
shakedracor,R2,Gardener_R2,25,
shakedracor,R2,BishopOfCarlisle_R2,22,
shakedracor,R2,Ross_R2,15,
shakedracor,R2,HenryIV_1H4,2,
shakedracor,R2,Surrey_R2,29,
shakedracor,R2,Green_R2,9,
shakedracor,R2,Berkeley_R2,19,
shakedracor,R2,Northumberland_R2,14,
shakedracor,R2,HERALDS.2_R2,8,
shakedracor,R2,Hotspur_R2,18,
shakedracor,R2,LordMarshal_R2,5,
shakedracor,R2,HERALDS.1_R2,7,
shakedracor,R2,Queen_R2,13,
shakedracor,R2,Bagot_R2,11,
shakedracor,R2,DuchessOfYork_R2,31,
shakedracor,R2,AbbotOfWestminster_R2,30,
shakedracor,R2,LORDS.1_R2,28,
shakedracor,R2,Mowbray_R2,3,
shakedracor,R2,WelshCaptain_R2,20,
shakedracor,R2,SERVANTS.EXTON.0.1_R2,33,
shakedracor,R2,Willoughby_R2,16,
