corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,In,IN,in,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Troy,NNP,troy,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,there,RB,there,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,lies,VBZ,lie,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,the,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,scene,NN,scene,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,.,.,.,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,From,IN,from,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,isles,NNS,isle,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,of,IN,of,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Greece,NNP,greece,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,The,NNP,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,princes,VBZ,prince,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,orgulous,JJ,orgulous,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,high,JJ,high,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,blood,NN,blood,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,chafed,VBD,chafe,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Have,NNP,have,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,to,TO,to,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,the,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,port,NN,port,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,of,IN,of,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Athens,NNP,athens,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,sent,VBD,send,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,ships,NNS,ship,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Fraught,JJ,fraught,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,with,IN,with,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,the,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,ministers,NNS,minister,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,and,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,instruments,NNS,instrument,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Of,IN,of,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,cruel,JJ,cruel,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,war,NN,war,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,.,.,.,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Sixty,CD,sixty,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,and,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,nine,CD,nine,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,that,WDT,that,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,wore,VBD,wear,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,crownets,NNS,crownet,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,regal,VBP,regal,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,from,IN,from,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,th,DT,th,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,’,CD,’,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Athenian,JJ,athenian,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,bay,NN,bay,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Put,NN,put,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,forth,RB,forth,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,toward,IN,toward,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Phrygia,NNP,phrygia,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,and,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,vow,NN,vow,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,is,VBZ,be,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,made,VBN,make,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,To,TO,to,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,ransack,VB,ransack,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Troy,NNP,troy,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,within,IN,within,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,whose,WP$,whose,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,strong,JJ,strong,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,immures,NNS,immure,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,The,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,ravished,JJ,ravish,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Helen,NNP,helen,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Menelaus,NNP,menelaus,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,’,NNP,’,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,queen,NN,queen,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,With,IN,with,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,wanton,JJ,wanton,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Paris,NNP,paris,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,sleeps,NNS,sleep,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,;,:,;,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,and,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,that,IN,that,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,’,NN,’,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,s,VBZ,s,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,the,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,quarrel,VBP,quarrel,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,.,.,.,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,To,TO,to,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Tenedos,NNPS,tenedos,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,they,PRP,they,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,come,VBP,come,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,",",",",",",35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,And,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,the,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,deep-drawing,JJ,deep-drawing,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,barks,NNS,barks,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,do,VBP,do,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,there,RB,there,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,disgorge,VB,disgorge,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,warlike,JJ,warlike,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,fraughtage,NN,fraughtage,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,.,.,.,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Now,RB,now,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,on,IN,on,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Dardan,NNP,dardan,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,plains,NNS,plain,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,The,DT,the,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,fresh,JJ,fresh,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,and,CC,and,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,yet,RB,yet,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,unbruisèd,JJ,unbruisèd,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Greeks,NNPS,greeks,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,do,VBP,do,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,pitch,VB,pitch,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Their,PRP$,their,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,brave,VB,brave,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,pavilions,NNS,pavilion,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,.,.,.,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,Priam,NNP,priam,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,’,NNP,’,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,s,VBZ,s,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,six-gated,JJ,six-gate,35008,,
shakedracor,Tro,897,2740,Prologue,Prologue_Tro,city,NN,city,35008,,
