corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,/henry-iv-part-ii,Surrey_2H4,50,
shakedracor,/henry-iv-part-ii,Blunt_2H4,51,
shakedracor,/henry-iv-part-ii,fs-2h4-0000010,52,
shakedracor,/henry-iv-part-ii,stg-0000,53,
shakedracor,/henry-iv-part-ii,fs-2h4-0000020,54,
shakedracor,/henry-iv-part-ii,fs-2h4-0000040,55,
shakedracor,/henry-iv-part-ii,fs-2h4-0000050,56,
shakedracor,/henry-iv-part-ii,fs-2h4-0000070,57,
shakedracor,/henry-iv-part-ii,fs-2h4-0000090,58,
shakedracor,/henry-iv-part-ii,fs-2h4-0000110,59,
shakedracor,/henry-iv-part-ii,fs-2h4-0000130,60,
shakedracor,/henry-iv-part-ii,fs-2h4-0000140,61,
shakedracor,/henry-iv-part-ii,sp-0001,62,
shakedracor,/henry-iv-part-ii,spk-0001,63,
shakedracor,/henry-iv-part-ii,fs-2h4-0000150,64,
shakedracor,/henry-iv-part-ii,ftln-0001,65,
shakedracor,/henry-iv-part-ii,fs-2h4-0000160,66,
shakedracor,/henry-iv-part-ii,fs-2h4-0000180,67,
shakedracor,/henry-iv-part-ii,fs-2h4-0000200,68,
shakedracor,/henry-iv-part-ii,fs-2h4-0000210,69,
shakedracor,/henry-iv-part-ii,fs-2h4-0000230,70,
shakedracor,/henry-iv-part-ii,fs-2h4-0000250,71,
shakedracor,/henry-iv-part-ii,fs-2h4-0000270,72,
shakedracor,/henry-iv-part-ii,fs-2h4-0000290,73,
shakedracor,/henry-iv-part-ii,fs-2h4-0000310,74,
shakedracor,/henry-iv-part-ii,fs-2h4-0000330,75,
shakedracor,/henry-iv-part-ii,ftln-0002,76,
shakedracor,/henry-iv-part-ii,fs-2h4-0000340,77,
shakedracor,/henry-iv-part-ii,fs-2h4-0000360,78,
shakedracor,/henry-iv-part-ii,fs-2h4-0000380,79,
shakedracor,/henry-iv-part-ii,fs-2h4-0000400,80,
