corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,/henry-v,HERALDS.1_H5,44,
shakedracor,/henry-v,Montjoy_H5,28,
shakedracor,/henry-v,Chorus_H5,0,
shakedracor,/henry-v,Brittany_H5,27,
shakedracor,/henry-v,SOLDIERS.ENGLISH.Court_H5,34,
shakedracor,/henry-v,Exeter_H5,4,
shakedracor,/henry-v,Grey_H5,15,
shakedracor,/henry-v,Bedford_H5,12,
shakedracor,/henry-v,Boy_H5,11,
shakedracor,/henry-v,MESSENGERS.X.1_H5,19,
shakedracor,/henry-v,SOLDIERS.FRENCH.LeFer_H5,41,
shakedracor,/henry-v,Constable_H5,18,
shakedracor,/henry-v,Fluellen_H5,20,
shakedracor,/henry-v,MacMorris_H5,23,
shakedracor,/henry-v,Governor_H5,24,
shakedracor,/henry-v,Pistol_2H4,9,
shakedracor,/henry-v,Warwick_2H4,43,
shakedracor,/henry-v,Katherine_H5,25,
shakedracor,/henry-v,Orleans_H5,30,
shakedracor,/henry-v,Cambridge_H5,14,
shakedracor,/henry-v,MESSENGERS.X.3_H5,37,
shakedracor,/henry-v,Grandpre_H5,38,
shakedracor,/henry-v,Rambures_H5,31,
shakedracor,/henry-v,ATTENDANTS.ENGLISH_H5,47,
shakedracor,/henry-v,KingOfFrance_H5,16,
shakedracor,/henry-v,Jamy_H5,22,
shakedracor,/henry-v,Bardolph_1H4,7,
shakedracor,/henry-v,Gloucester_2H4,29,
shakedracor,/henry-v,SOLDIERS.ENGLISH.Williams_H5,36,
shakedracor,/henry-v,BishopOfEly_H5,2,
shakedracor,/henry-v,Nym_H5,8,
shakedracor,/henry-v,MistressQuickly_1H4,10,
shakedracor,/henry-v,Scroop_H5,13,
shakedracor,/henry-v,York_H5,40,
shakedracor,/henry-v,Westmoreland_1H4,5,
shakedracor,/henry-v,SOLDIERS.ENGLISH.Bates_H5,35,
shakedracor,/henry-v,Gower_H5,21,
shakedracor,/henry-v,HenryV_H5,3,
shakedracor,/henry-v,Salisbury_H5,39,
shakedracor,/henry-v,MESSENGERS.X.2_H5,32,
shakedracor,/henry-v,Erpingham_H5,33,
shakedracor,/henry-v,Burgundy_H5,46,
shakedracor,/henry-v,BishopOfCanterbury_H5,1,
shakedracor,/henry-v,Alice_H5,26,
shakedracor,/henry-v,Bourbon_H5,42,
shakedracor,/henry-v,AMBASSADORS.0.1_H5,6,
shakedracor,/henry-v,Dauphin_H5,17,
shakedracor,/henry-v,QueenOfFrance_H5,45,
