corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/henry-vi-part-3,Father,Father_3H6,,
shakedracor,/henry-vi-part-3,First Watch,WATCHMEN.1_3H6,,
shakedracor,/henry-vi-part-3,Norfolk,Norfolk_3H6,,
shakedracor,/henry-vi-part-3,George Clarence,Clarence_3H6,,
shakedracor,/henry-vi-part-3,King Henry VI,HenryVI_1H6,,
shakedracor,/henry-vi-part-3,Clifford,Clifford_3H6,,
shakedracor,/henry-vi-part-3,"Soldiers, Servants, Attendants, Drummers, Trumpeters, Sir Hugh Mortimer, Henry, Earl of Richmond, Aldermen of York, Mayor of Coventry, Nurse, the infant prince, and Others",SOLDIERS.MONTGOMERY_3H6,,
shakedracor,/henry-vi-part-3,Somerset,Somerset_3H6,,
shakedracor,/henry-vi-part-3,Somerville,Somerville_3H6,,
shakedracor,/henry-vi-part-3,Second Watch,WATCHMEN.2_3H6,,
shakedracor,/henry-vi-part-3,Northumberland,Northumberland_3H6,,
shakedracor,/henry-vi-part-3,Edward King Edward IV,EdwardIV_3H6,,
shakedracor,/henry-vi-part-3,Lady Bona,LadyBona_3H6,,
shakedracor,/henry-vi-part-3,Mayor,MayorOfYork_3H6,,
shakedracor,/henry-vi-part-3,Nobleman,ATTENDANTS.EDWARD.1_3H6,,
shakedracor,/henry-vi-part-3,Post,MESSENGERS.Post_3H6,,
shakedracor,/henry-vi-part-3,Lady Grey Queen Elizabeth,QueenElizabeth_3H6,,
shakedracor,/henry-vi-part-3,Montague,Montague_3H6,,
shakedracor,/henry-vi-part-3,Sir John,JohnMortimer_3H6,,
shakedracor,/henry-vi-part-3,Rivers,Rivers_3H6,,
shakedracor,/henry-vi-part-3,MESSENGERS.X.4_3H6,MESSENGERS.X.4_3H6,,
shakedracor,/henry-vi-part-3,"Soldiers, Servants, Attendants, Drummers, Trumpeters, Sir Hugh Mortimer, Henry, Earl of Richmond, Aldermen of York, Mayor of Coventry, Nurse, the infant prince, and Others",SOLDIERS.YORK_3H6,,
shakedracor,/henry-vi-part-3,MESSENGERS.X.2_3H6,MESSENGERS.X.2_3H6,,
shakedracor,/henry-vi-part-3,Westmorland,Westmorland_3H6,,
shakedracor,/henry-vi-part-3,Prince Edward,PrinceEdward_3H6,,
shakedracor,/henry-vi-part-3,First Messenger,MESSENGERS.1_3H6,,
shakedracor,/henry-vi-part-3,Exeter,Exeter_3H6,,
shakedracor,/henry-vi-part-3,Second Messenger,MESSENGERS.2_3H6,,
shakedracor,/henry-vi-part-3,MESSENGERS.X.3_3H6,MESSENGERS.X.3_3H6,,
shakedracor,/henry-vi-part-3,Montgomery,Montgomery_3H6,,
shakedracor,/henry-vi-part-3,First Gamekeeper,GAMEKEEPERS.1_3H6,,
shakedracor,/henry-vi-part-3,Hastings,Hastings_3H6,,
shakedracor,/henry-vi-part-3,Lieutenant,Lieutenant_3H6,,
shakedracor,/henry-vi-part-3,York,York_1H6,,
shakedracor,/henry-vi-part-3,Son,Son_3H6,,
shakedracor,/henry-vi-part-3,Huntsman,Huntsman_3H6,,
shakedracor,/henry-vi-part-3,Soldier,SOLDIERS.YORK.0.1_3H6,,
shakedracor,/henry-vi-part-3,Rutland,Rutland_3H6,,
shakedracor,/henry-vi-part-3,Tutor,Tutor_3H6,,
shakedracor,/henry-vi-part-3,Warwick,Warwick_2H6,,
shakedracor,/henry-vi-part-3,MESSENGERS.X.5_3H6,MESSENGERS.X.5_3H6,,
shakedracor,/henry-vi-part-3,Third Watch,WATCHMEN.3_3H6,,
shakedracor,/henry-vi-part-3,"Soldiers, Servants, Attendants, Drummers, Trumpeters, Sir Hugh Mortimer, Henry, Earl of Richmond, Aldermen of York, Mayor of Coventry, Nurse, the infant prince, and Others",ALDERMEN_3H6,,
shakedracor,/henry-vi-part-3,MESSENGERS.X.1_3H6,MESSENGERS.X.1_3H6,,
shakedracor,/henry-vi-part-3,King Lewis,KingLewis_3H6,,
shakedracor,/henry-vi-part-3,Second Gamekeeper,GAMEKEEPERS.2_3H6,,
shakedracor,/henry-vi-part-3,Oxford,Oxford_3H6,,
shakedracor,/henry-vi-part-3,Richard Gloucester,RichardIII_R3,,
shakedracor,/henry-vi-part-3,Queen Margaret,QueenMargaret_1H6,,
