corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,/henry-viii,SECRETARIES_H8,48,
shakedracor,/henry-viii,stg-0000,49,
shakedracor,/henry-viii,fs-h8-0000010,50,
shakedracor,/henry-viii,fs-h8-0000030,51,
shakedracor,/henry-viii,fs-h8-0000040,52,
shakedracor,/henry-viii,sp-0001,53,
shakedracor,/henry-viii,spk-0001,54,
shakedracor,/henry-viii,fs-h8-0000050,55,
shakedracor,/henry-viii,ftln-0001,56,
shakedracor,/henry-viii,fs-h8-0000060,57,
shakedracor,/henry-viii,fs-h8-0000080,58,
shakedracor,/henry-viii,fs-h8-0000100,59,
shakedracor,/henry-viii,fs-h8-0000120,60,
shakedracor,/henry-viii,fs-h8-0000140,61,
shakedracor,/henry-viii,fs-h8-0000160,62,
shakedracor,/henry-viii,fs-h8-0000180,63,
shakedracor,/henry-viii,fs-h8-0000200,64,
shakedracor,/henry-viii,fs-h8-0000210,65,
shakedracor,/henry-viii,fs-h8-0000230,66,
shakedracor,/henry-viii,fs-h8-0000250,67,
shakedracor,/henry-viii,ftln-0002,68,
shakedracor,/henry-viii,fs-h8-0000260,69,
shakedracor,/henry-viii,fs-h8-0000280,70,
shakedracor,/henry-viii,fs-h8-0000300,71,
shakedracor,/henry-viii,fs-h8-0000320,72,
shakedracor,/henry-viii,fs-h8-0000340,73,
shakedracor,/henry-viii,fs-h8-0000360,74,
shakedracor,/henry-viii,fs-h8-0000380,75,
shakedracor,/henry-viii,fs-h8-0000400,76,
shakedracor,/henry-viii,fs-h8-0000410,77,
shakedracor,/henry-viii,ftln-0003,78,
shakedracor,/henry-viii,fs-h8-0000420,79,
shakedracor,/henry-viii,fs-h8-0000430,80,
shakedracor,/henry-viii,fs-h8-0000450,81,
shakedracor,/henry-viii,fs-h8-0000460,82,
shakedracor,/henry-viii,fs-h8-0000480,83,
shakedracor,/henry-viii,fs-h8-0000500,84,
shakedracor,/henry-viii,fs-h8-0000510,85,
shakedracor,/henry-viii,fs-h8-0000530,86,
shakedracor,/henry-viii,fs-h8-0000550,87,
shakedracor,/henry-viii,fs-h8-0000570,88,
shakedracor,/henry-viii,fs-h8-0000590,89,
shakedracor,/henry-viii,fs-h8-0000610,90,
shakedracor,/henry-viii,fs-h8-0000620,91,
shakedracor,/henry-viii,ftln-0004,92,
shakedracor,/henry-viii,fs-h8-0000630,93,
shakedracor,/henry-viii,fs-h8-0000650,94,
shakedracor,/henry-viii,fs-h8-0000670,95,
shakedracor,/henry-viii,fs-h8-0000690,96,
shakedracor,/henry-viii,fs-h8-0000710,97,
shakedracor,/henry-viii,fs-h8-0000730,98,
shakedracor,/henry-viii,fs-h8-0000750,99,
shakedracor,/henry-viii,fs-h8-0000770,100,
shakedracor,/henry-viii,fs-h8-0000790,101,
shakedracor,/henry-viii,fs-h8-0000800,102,
shakedracor,/henry-viii,ftln-0005,103,
shakedracor,/henry-viii,fs-h8-0000810,104,
shakedracor,/henry-viii,fs-h8-0000830,105,
shakedracor,/henry-viii,fs-h8-0000850,106,
shakedracor,/henry-viii,fs-h8-0000860,107,
shakedracor,/henry-viii,fs-h8-0000880,108,
shakedracor,/henry-viii,fs-h8-0000900,109,
shakedracor,/henry-viii,fs-h8-0000920,110,
shakedracor,/henry-viii,fs-h8-0000940,111,
shakedracor,/henry-viii,fs-h8-0000960,112,
shakedracor,/henry-viii,ftln-0006,113,
shakedracor,/henry-viii,fs-h8-0000970,114,
shakedracor,/henry-viii,fs-h8-0000980,115,
shakedracor,/henry-viii,fs-h8-0001000,116,
shakedracor,/henry-viii,fs-h8-0001020,117,
shakedracor,/henry-viii,fs-h8-0001040,118,
shakedracor,/henry-viii,fs-h8-0001060,119,
shakedracor,/henry-viii,fs-h8-0001080,120,
shakedracor,/henry-viii,fs-h8-0001090,121,
shakedracor,/henry-viii,fs-h8-0001110,122,
shakedracor,/henry-viii,fs-h8-0001130,123,
shakedracor,/henry-viii,fs-h8-0001150,124,
shakedracor,/henry-viii,fs-h8-0001170,125,
shakedracor,/henry-viii,fs-h8-0001180,126,
shakedracor,/henry-viii,ftln-0007,127,
shakedracor,/henry-viii,fs-h8-0001190,128,
shakedracor,/henry-viii,fs-h8-0001210,129,
shakedracor,/henry-viii,fs-h8-0001230,130,
shakedracor,/henry-viii,fs-h8-0001250,131,
shakedracor,/henry-viii,fs-h8-0001270,132,
shakedracor,/henry-viii,fs-h8-0001280,133,
shakedracor,/henry-viii,fs-h8-0001300,134,
shakedracor,/henry-viii,fs-h8-0001320,135,
shakedracor,/henry-viii,fs-h8-0001340,136,
shakedracor,/henry-viii,ftln-0008,137,
shakedracor,/henry-viii,fs-h8-0001350,138,
shakedracor,/henry-viii,fs-h8-0001370,139,
shakedracor,/henry-viii,fs-h8-0001390,140,
shakedracor,/henry-viii,fs-h8-0001410,141,
shakedracor,/henry-viii,fs-h8-0001430,142,
shakedracor,/henry-viii,fs-h8-0001450,143,
shakedracor,/henry-viii,fs-h8-0001470,144,
shakedracor,/henry-viii,fs-h8-0001490,145,
shakedracor,/henry-viii,ftln-0009,146,
shakedracor,/henry-viii,fs-h8-0001500,147,
shakedracor,/henry-viii,fs-h8-0001520,148,
shakedracor,/henry-viii,fs-h8-0001540,149,
shakedracor,/henry-viii,fs-h8-0001560,150,
shakedracor,/henry-viii,fs-h8-0001580,151,
shakedracor,/henry-viii,fs-h8-0001590,152,
shakedracor,/henry-viii,fs-h8-0001610,153,
shakedracor,/henry-viii,fs-h8-0001630,154,
shakedracor,/henry-viii,fs-h8-0001650,155,
shakedracor,/henry-viii,fs-h8-0001670,156,
shakedracor,/henry-viii,fs-h8-0001690,157,
shakedracor,/henry-viii,ftln-0010,158,
shakedracor,/henry-viii,fs-h8-0001700,159,
shakedracor,/henry-viii,fs-h8-0001720,160,
shakedracor,/henry-viii,fs-h8-0001740,161,
shakedracor,/henry-viii,fs-h8-0001760,162,
shakedracor,/henry-viii,fs-h8-0001780,163,
shakedracor,/henry-viii,fs-h8-0001790,164,
shakedracor,/henry-viii,fs-h8-0001810,165,
shakedracor,/henry-viii,fs-h8-0001830,166,
shakedracor,/henry-viii,fs-h8-0001850,167,
shakedracor,/henry-viii,ftln-0011,168,
shakedracor,/henry-viii,fs-h8-0001860,169,
shakedracor,/henry-viii,fs-h8-0001880,170,
shakedracor,/henry-viii,fs-h8-0001900,171,
shakedracor,/henry-viii,fs-h8-0001920,172,
shakedracor,/henry-viii,fs-h8-0001930,173,
shakedracor,/henry-viii,fs-h8-0001950,174,
shakedracor,/henry-viii,fs-h8-0001970,175,
shakedracor,/henry-viii,fs-h8-0001990,176,
shakedracor,/henry-viii,fs-h8-0002010,177,
shakedracor,/henry-viii,fs-h8-0002030,178,
shakedracor,/henry-viii,fs-h8-0002050,179,
shakedracor,/henry-viii,fs-h8-0002060,180,
shakedracor,/henry-viii,ftln-0012,181,
shakedracor,/henry-viii,fs-h8-0002070,182,
shakedracor,/henry-viii,fs-h8-0002090,183,
shakedracor,/henry-viii,fs-h8-0002110,184,
shakedracor,/henry-viii,fs-h8-0002130,185,
shakedracor,/henry-viii,fs-h8-0002150,186,
shakedracor,/henry-viii,fs-h8-0002170,187,
shakedracor,/henry-viii,fs-h8-0002190,188,
shakedracor,/henry-viii,ftln-0013,189,
shakedracor,/henry-viii,fs-h8-0002200,190,
shakedracor,/henry-viii,fs-h8-0002220,191,
shakedracor,/henry-viii,fs-h8-0002240,192,
shakedracor,/henry-viii,fs-h8-0002260,193,
shakedracor,/henry-viii,fs-h8-0002280,194,
shakedracor,/henry-viii,fs-h8-0002290,195,
shakedracor,/henry-viii,fs-h8-0002310,196,
shakedracor,/henry-viii,fs-h8-0002330,197,
shakedracor,/henry-viii,ftln-0014,198,
shakedracor,/henry-viii,fs-h8-0002340,199,
shakedracor,/henry-viii,fs-h8-0002360,200,
shakedracor,/henry-viii,fs-h8-0002380,201,
shakedracor,/henry-viii,fs-h8-0002400,202,
shakedracor,/henry-viii,fs-h8-0002420,203,
shakedracor,/henry-viii,fs-h8-0002440,204,
shakedracor,/henry-viii,fs-h8-0002450,205,
shakedracor,/henry-viii,fs-h8-0002470,206,
shakedracor,/henry-viii,fs-h8-0002490,207,
shakedracor,/henry-viii,fs-h8-0002500,208,
