corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Solinus,NNP,solinu,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,the,DT,the,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Duke,NNP,duke,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Ephesus,NNP,ephesus,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,with,IN,with,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Egeon,NNP,egeon,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,the,DT,the,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Merchant,NNP,merchant,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Jailer,NNP,jailer,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,and,CC,and,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,other,JJ,other,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,Attendants,NNS,attendant,19928,,
shakedracor,/the-comedy-of-errors,1087,1222,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,10549,10562,_Stage,_Stage,They,PRP,they,19928,,
shakedracor,/the-comedy-of-errors,10549,10562,_Stage,_Stage,exit,VBP,exit,19928,,
shakedracor,/the-comedy-of-errors,10549,10562,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Antipholus,NNP,antipholus,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,First,NNP,first,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Merchant,NNP,merchant,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,and,CC,and,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,10581,10671,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,11142,11162,_Stage,_Stage,He,PRP,he,19928,,
shakedracor,/the-comedy-of-errors,11142,11162,_Stage,_Stage,gives,VBZ,give,19928,,
shakedracor,/the-comedy-of-errors,11142,11162,_Stage,_Stage,money,NN,money,19928,,
shakedracor,/the-comedy-of-errors,11142,11162,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,11195,11228,Antipholus of Syracuse,AntipholusOfSyracuse_Err,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,11195,11228,Antipholus of Syracuse,AntipholusOfSyracuse_Err,handing,VBG,hand,19928,,
shakedracor,/the-comedy-of-errors,11195,11228,Antipholus of Syracuse,AntipholusOfSyracuse_Err,money,NN,money,19928,,
shakedracor,/the-comedy-of-errors,11195,11228,Antipholus of Syracuse,AntipholusOfSyracuse_Err,to,TO,to,19928,,
shakedracor,/the-comedy-of-errors,11195,11228,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,11838,11870,_Stage,_Stage,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,11838,11870,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,11838,11870,_Stage,_Stage,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,11838,11870,_Stage,_Stage,exits,NNS,exit,19928,,
shakedracor,/the-comedy-of-errors,11838,11870,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,12813,12825,_Stage,_Stage,He,PRP,he,19928,,
shakedracor,/the-comedy-of-errors,12813,12825,_Stage,_Stage,exits,NNS,exit,19928,,
shakedracor,/the-comedy-of-errors,12813,12825,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,13319,13350,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,13319,13350,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,13319,13350,Antipholus of Syracuse,AntipholusOfSyracuse_Err,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,13319,13350,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Ephesus,NNP,ephesus,19928,,
shakedracor,/the-comedy-of-errors,13319,13350,Antipholus of Syracuse,AntipholusOfSyracuse_Err,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,16967,16987,Antipholus of Syracuse,AntipholusOfSyracuse_Err,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,16967,16987,Antipholus of Syracuse,AntipholusOfSyracuse_Err,beating,VBG,beat,19928,,
shakedracor,/the-comedy-of-errors,16967,16987,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,17302,17333,_Stage,_Stage,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,17302,17333,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,17302,17333,_Stage,_Stage,Ephesus,NNP,ephesus,19928,,
shakedracor,/the-comedy-of-errors,17302,17333,_Stage,_Stage,exits,NNS,exit,19928,,
shakedracor,/the-comedy-of-errors,17302,17333,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,18002,18014,_Stage,_Stage,He,PRP,he,19928,,
shakedracor,/the-comedy-of-errors,18002,18014,_Stage,_Stage,exits,NNS,exit,19928,,
shakedracor,/the-comedy-of-errors,18002,18014,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,Adriana,NNP,adriana,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,wife,NN,wife,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,to,TO,to,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,Antipholus,NNP,antipholus,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,Ephesus,NNP,ephesus,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,with,IN,with,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,Luciana,NNP,luciana,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,her,PRP$,her,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,sister,NN,sister,19928,,
shakedracor,/the-comedy-of-errors,18047,18142,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,21027,21058,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,21027,21058,_Stage,_Stage,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,21027,21058,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,21027,21058,_Stage,_Stage,Ephesus,NNP,ephesus,19928,,
shakedracor,/the-comedy-of-errors,21027,21058,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,24034,24046,_Stage,_Stage,He,PRP,he,19928,,
shakedracor,/the-comedy-of-errors,24034,24046,_Stage,_Stage,exits,NNS,exit,19928,,
shakedracor,/the-comedy-of-errors,24034,24046,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,25960,25973,_Stage,_Stage,They,PRP,they,19928,,
shakedracor,/the-comedy-of-errors,25960,25973,_Stage,_Stage,exit,VBP,exit,19928,,
shakedracor,/the-comedy-of-errors,25960,25973,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,25992,26028,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,25992,26028,_Stage,_Stage,Antipholus,NNP,antipholus,19928,,
shakedracor,/the-comedy-of-errors,25992,26028,_Stage,_Stage,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,25992,26028,_Stage,_Stage,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,25992,26028,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,26427,26459,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,26427,26459,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,26427,26459,Antipholus of Syracuse,AntipholusOfSyracuse_Err,of,IN,of,19928,,
shakedracor,/the-comedy-of-errors,26427,26459,Antipholus of Syracuse,AntipholusOfSyracuse_Err,Syracuse,NNP,syracuse,19928,,
shakedracor,/the-comedy-of-errors,26427,26459,Antipholus of Syracuse,AntipholusOfSyracuse_Err,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,27768,27784,_Stage,_Stage,Beats,NNP,beats,19928,,
shakedracor,/the-comedy-of-errors,27768,27784,_Stage,_Stage,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,27768,27784,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,Enter,VB,enter,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,Adriana,NNP,adriana,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,beckoning,VBG,beckon,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,them,PRP,them,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,and,CC,and,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,Luciana,NNP,luciana,19928,,
shakedracor,/the-comedy-of-errors,33583,33639,_Stage,_Stage,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,37729,37754,Adriana,Adriana_Err,She,PRP,she,19928,,
shakedracor,/the-comedy-of-errors,37729,37754,Adriana,Adriana_Err,takes,VBZ,take,19928,,
shakedracor,/the-comedy-of-errors,37729,37754,Adriana,Adriana_Err,his,PRP$,his,19928,,
shakedracor,/the-comedy-of-errors,37729,37754,Adriana,Adriana_Err,arm,NN,arm,19928,,
shakedracor,/the-comedy-of-errors,37729,37754,Adriana,Adriana_Err,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,38213,38222,Antipholus of Syracuse,AntipholusOfSyracuse_Err,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,38213,38222,Antipholus of Syracuse,AntipholusOfSyracuse_Err,aside,RB,aside,19928,,
shakedracor,/the-comedy-of-errors,38749,38773,Dromio of Syracuse,DromioOfSyracuse_Err,He,PRP,he,19928,,
shakedracor,/the-comedy-of-errors,38749,38773,Dromio of Syracuse,DromioOfSyracuse_Err,crosses,VBZ,cross,19928,,
shakedracor,/the-comedy-of-errors,38749,38773,Dromio of Syracuse,DromioOfSyracuse_Err,himself,PRP,himself,19928,,
shakedracor,/the-comedy-of-errors,38749,38773,Dromio of Syracuse,DromioOfSyracuse_Err,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,40292,40305,Adriana,Adriana_Err,To,TO,to,19928,,
shakedracor,/the-comedy-of-errors,40292,40305,Adriana,Adriana_Err,Dromio,NNP,dromio,19928,,
shakedracor,/the-comedy-of-errors,40292,40305,Adriana,Adriana_Err,.,.,.,19928,,
shakedracor,/the-comedy-of-errors,40533,40542,Antipholus of Syracuse,AntipholusOfSyracuse_Err,",",",",",",19928,,
shakedracor,/the-comedy-of-errors,40533,40542,Antipholus of Syracuse,AntipholusOfSyracuse_Err,aside,RB,aside,19928,,
shakedracor,/the-comedy-of-errors,41083,41096,_Stage,_Stage,They,PRP,they,19928,,
shakedracor,/the-comedy-of-errors,41083,41096,_Stage,_Stage,exit,VBP,exit,19928,,
