corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/the-merry-wives-of-windsor,Shallow,Shallow_2H4,,
shakedracor,/the-merry-wives-of-windsor,Slender,Slender_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Sir Hugh,HughEvans_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Page,MasterPage_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Falstaff,Falstaff_1H4,,
shakedracor,/the-merry-wives-of-windsor,Bardolph,Bardolph_1H4,,
shakedracor,/the-merry-wives-of-windsor,Pistol,Pistol_2H4,,
shakedracor,/the-merry-wives-of-windsor,Nym,Nym_H5,,
shakedracor,/the-merry-wives-of-windsor,Simple,Simple_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Anne,AnnePage_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Host,Host_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Mistress Quickly,MistressQuickly_1H4,,
shakedracor,/the-merry-wives-of-windsor,John Rugby,Rugby_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Doctor Caius,DoctorCaius_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Fenton,Fenton_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Mistress Page,MistressPage_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Mistress Ford,MistressFord_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Ford,MasterFord_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Robin,Robin_Wiv,,
shakedracor,/the-merry-wives-of-windsor,Robert,Robert_Wiv,,
shakedracor,/the-merry-wives-of-windsor,John,John_Wiv,,
shakedracor,/the-merry-wives-of-windsor,William,WilliamPage_Wiv,,
shakedracor,/the-merry-wives-of-windsor,"Windsor Children, disguised as fairies",BOYS_Wiv,,
