corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,Sir,NNP,sir,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,Hugh,NNP,hugh,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,",",",",",",30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,persuade,VB,persuade,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,me,PRP,me,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,not,RB,not,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,.,.,.,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,I,PRP,i,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,will,MD,will,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,make,VB,make,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,a,DT,a,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,Star-Chamber,NNP,star-chamber,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,matter,NN,matter,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,of,IN,of,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,it,PRP,it,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,.,.,.,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,If,IN,if,30135,,
shakedracor,/the-merry-wives-of-windsor,831,1046,Shallow,Shallow_2H4,he,PRP,he,30135,,
