corpus,drama,figure_surface,figure_id,Gender,Age
shakedracor,/troilus-and-cressida,Troilus’s Boy,Boy_Tro,,
shakedracor,/troilus-and-cressida,Helen,Helen_Tro,,
shakedracor,/troilus-and-cressida,Antenor,Antenor_Tro,,
shakedracor,/troilus-and-cressida,Ajax,Ajax_Tro,,
shakedracor,/troilus-and-cressida,Helenus,Helenus_Tro,,
shakedracor,/troilus-and-cressida,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",ATTENDANTS.GREEK_Tro,,
shakedracor,/troilus-and-cressida,Cassandra,Cassandra_Tro,,
shakedracor,/troilus-and-cressida,Pandarus,Pandarus_Tro,,
shakedracor,/troilus-and-cressida,Diomedes’ Servingman,SERVANTS.DIOMEDES.1_Tro,,
shakedracor,/troilus-and-cressida,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",SOLDIERS.TROJAN_Tro,,
shakedracor,/troilus-and-cressida,Hector,Hector_Tro,,
shakedracor,/troilus-and-cressida,Troilus,Troilus_Tro,,
shakedracor,/troilus-and-cressida,Thersites,Thersites_Tro,,
shakedracor,/troilus-and-cressida,Paris’s Servingman,SERVANTS.PARIS.1_Tro,,
shakedracor,/troilus-and-cressida,Agamemnon,Agamemnon_Tro,,
shakedracor,/troilus-and-cressida,Menelaus,Menelaus_Tro,,
shakedracor,/troilus-and-cressida,Prologue,Prologue_Tro,,
shakedracor,/troilus-and-cressida,Troilus’s Man,SERVANTS.TROILUS.1_Tro,,
shakedracor,/troilus-and-cressida,Ulysses,Ulysses_Tro,,
shakedracor,/troilus-and-cressida,MYRMIDONS.0.1_Tro,MYRMIDONS.0.1_Tro,,
shakedracor,/troilus-and-cressida,Paris,Paris_Tro,,
shakedracor,/troilus-and-cressida,"Other Trojans and Greeks, Common Soldiers of Troy and Greece, Trumpeters, Attendants, Torchbearers",SOLDIERS_Tro,,
shakedracor,/troilus-and-cressida,Achilles,Achilles_Tro,,
shakedracor,/troilus-and-cressida,Nestor,Nestor_Tro,,
shakedracor,/troilus-and-cressida,Bastard,Bastard_Tro,,
shakedracor,/troilus-and-cressida,Calchas,Calchas_Tro,,
shakedracor,/troilus-and-cressida,Cressida,Cressida_Tro,,
shakedracor,/troilus-and-cressida,Diomedes,Diomedes_Tro,,
shakedracor,/troilus-and-cressida,Deiphobus,Deiphobus_Tro,,
shakedracor,/troilus-and-cressida,Alexander,Alexander_Tro,,
shakedracor,/troilus-and-cressida,Patroclus,Patroclus_Tro,,
shakedracor,/troilus-and-cressida,Aeneas,Aeneas_Tro,,
shakedracor,/troilus-and-cressida,Andromache,Andromache_Tro,,
shakedracor,/troilus-and-cressida,Priam,Priam_Tro,,
