corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
shakedracor,/two-gentlemen-of-verona,531,566,_Stage,_Stage,Enter,VB,enter,22608,,
shakedracor,/two-gentlemen-of-verona,531,566,_Stage,_Stage,Valentine,NNP,valentine,22608,,
shakedracor,/two-gentlemen-of-verona,531,566,_Stage,_Stage,and,CC,and,22608,,
shakedracor,/two-gentlemen-of-verona,531,566,_Stage,_Stage,Proteus,NNP,proteus,22608,,
shakedracor,/two-gentlemen-of-verona,531,566,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,4549,4561,_Stage,_Stage,He,PRP,he,22608,,
shakedracor,/two-gentlemen-of-verona,4549,4561,_Stage,_Stage,exits,NNS,exit,22608,,
shakedracor,/two-gentlemen-of-verona,4549,4561,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,5024,5039,_Stage,_Stage,Enter,VB,enter,22608,,
shakedracor,/two-gentlemen-of-verona,5024,5039,_Stage,_Stage,Speed,NN,speed,22608,,
shakedracor,/two-gentlemen-of-verona,5024,5039,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,7561,7572,Speed,Speed_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,7561,7572,Speed,Speed_TGV,nodding,VBG,nodding,22608,,
shakedracor,/two-gentlemen-of-verona,8723,8741,Proteus,Proteus_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,8723,8741,Proteus,Proteus_TGV,giving,VBG,give,22608,,
shakedracor,/two-gentlemen-of-verona,8723,8741,Proteus,Proteus_TGV,money,NN,money,22608,,
shakedracor,/two-gentlemen-of-verona,8830,8860,Speed,Speed_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,8830,8860,Speed,Speed_TGV,looking,VBG,look,22608,,
shakedracor,/two-gentlemen-of-verona,8830,8860,Speed,Speed_TGV,at,IN,at,22608,,
shakedracor,/two-gentlemen-of-verona,8830,8860,Speed,Speed_TGV,the,DT,the,22608,,
shakedracor,/two-gentlemen-of-verona,8830,8860,Speed,Speed_TGV,money,NN,money,22608,,
shakedracor,/two-gentlemen-of-verona,9945,9960,Proteus,Proteus_TGV,Speed,NN,speed,22608,,
shakedracor,/two-gentlemen-of-verona,9945,9960,Proteus,Proteus_TGV,exits,NNS,exit,22608,,
shakedracor,/two-gentlemen-of-verona,9945,9960,Proteus,Proteus_TGV,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,10140,10152,_Stage,_Stage,He,PRP,he,22608,,
shakedracor,/two-gentlemen-of-verona,10140,10152,_Stage,_Stage,exits,NNS,exit,22608,,
shakedracor,/two-gentlemen-of-verona,10140,10152,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,10171,10202,_Stage,_Stage,Enter,VB,enter,22608,,
shakedracor,/two-gentlemen-of-verona,10171,10202,_Stage,_Stage,Julia,NNP,julia,22608,,
shakedracor,/two-gentlemen-of-verona,10171,10202,_Stage,_Stage,and,CC,and,22608,,
shakedracor,/two-gentlemen-of-verona,10171,10202,_Stage,_Stage,Lucetta,NNP,lucetta,22608,,
shakedracor,/two-gentlemen-of-verona,10171,10202,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,12478,12507,Lucetta,Lucetta_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,12478,12507,Lucetta,Lucetta_TGV,handing,VBG,hand,22608,,
shakedracor,/two-gentlemen-of-verona,12478,12507,Lucetta,Lucetta_TGV,her,PRP,her,22608,,
shakedracor,/two-gentlemen-of-verona,12478,12507,Lucetta,Lucetta_TGV,a,DT,a,22608,,
shakedracor,/two-gentlemen-of-verona,12478,12507,Lucetta,Lucetta_TGV,paper,NN,paper,22608,,
shakedracor,/two-gentlemen-of-verona,12560,12565,Julia,Julia_TGV,reads,VBZ,read,22608,,
shakedracor,/two-gentlemen-of-verona,13405,13429,Lucetta,Lucetta_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,13405,13429,Lucetta,Lucetta_TGV,taking,VBG,take,22608,,
shakedracor,/two-gentlemen-of-verona,13405,13429,Lucetta,Lucetta_TGV,the,DT,the,22608,,
shakedracor,/two-gentlemen-of-verona,13405,13429,Lucetta,Lucetta_TGV,paper,NN,paper,22608,,
shakedracor,/two-gentlemen-of-verona,13586,13599,_Stage,_Stage,She,NN,she,22608,,
shakedracor,/two-gentlemen-of-verona,13586,13599,_Stage,_Stage,exits,NNS,exit,22608,,
shakedracor,/two-gentlemen-of-verona,13586,13599,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,14609,14626,_Stage,_Stage,Enter,VB,enter,22608,,
shakedracor,/two-gentlemen-of-verona,14609,14626,_Stage,_Stage,Lucetta,NNP,lucetta,22608,,
shakedracor,/two-gentlemen-of-verona,14609,14626,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,She,PRP,she,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,drops,VBZ,drop,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,a,DT,a,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,paper,NN,paper,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,and,CC,and,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,then,RB,then,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,retrieves,VBZ,retrieve,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,it,PRP,it,22608,,
shakedracor,/two-gentlemen-of-verona,14866,14921,_Stage,_Stage,.,.,.,22608,,
shakedracor,/two-gentlemen-of-verona,16104,16128,Julia,Julia_TGV,",",",",",",22608,,
shakedracor,/two-gentlemen-of-verona,16104,16128,Julia,Julia_TGV,taking,VBG,take,22608,,
shakedracor,/two-gentlemen-of-verona,16104,16128,Julia,Julia_TGV,the,DT,the,22608,,
